ID,Name,Latitude,Longitude,URL,OpenToPublic,area_mn,shape_mn,contig_mn,enn_mn,devo_total,forest_total
55,Hemlock Bluffs,35.724098087769,-78.779309191044,NA,0,3.00765690376569,1.5528743608520683,0.2855496125730504,84.60553558025984,0.6753350097081198,0.25422541935894577
80,Duke School,35.9998,-78.966,https://www.dukeschool.org/,0,5.911578947368421,1.4981947928725283,0.325724278127788,78.47281601459346,0.5196256326998376,0.39728774711106873
87,Bio group 30-31,35.905724719646,-79.044604001892,NA,0,3.045348837209302,1.4965725259659104,0.26354549684259904,81.96082042036923,0.7031613129158575,0.2779281143548439
90,Pritchard Park (Chapel Hill Public Library),35.930914233655,-79.036950286991,https://chapelhillpubliclibrary.org/,1,1.959230769230769,1.4699246406368511,0.25707435089730984,81.26394277117119,0.7674366806669213,0.1981036018836706
78,NC Botanical Garden,35.8994,-79.0339,http://ncbg.unc.edu/,1,4.215925925925926,1.5311597928992982,0.2704037633962417,78.4272022911382,0.5704285850647491,0.3621814247987527
77,Prairie Ridge Ecostation,35.8117,-78.7139,https://naturalsciences.org/prairie-ridge,1,4.7840625,1.5404802787855256,0.39576838876969334,92.11216860754138,0.6980015274949083,0.21655422606924643
57,Piedmont Wildlife Center,35.917063489124,-78.981910741099,https://www.piedmontwildlifecenter.org/,1,3.4665829145728644,1.5167957055065573,0.3215056136448551,75.89625843849406,0.48739415547208254,0.24399949067294835
59,Jordan Lake SRA,35.730187663663,-79.010815647513,https://www.ncparks.gov/jordan-lake-state-recreation-area,1,27.940212765957444,1.9298184719754996,0.6488017391033251,66.48246694369391,0.068911735684502,0.4644300856224337
60,UNC Chapel Hill Campus,35.909876654033,-79.049644020807,NA,1,2.640461538461538,1.4917355382313535,0.2661729914527984,77.65855359323173,0.742337926864199,0.24276757582508512
68,NC State University,35.781071715192,-78.67546810402,NA,1,2.2597297297297296,1.443546436711771,0.34871282849562957,146.2602593895604,0.8985705644519435,0.05915125274585336
112,NC Museum of Life and Science,36.0294,-78.9016,https://www.lifeandscience.org,0,4.043835616438356,1.5322805644549595,0.3831795917373884,131.79419690108142,0.860039470333588,0.10440539852304556
197,Triangle Land Conservancy,35.995854492436,-79.053785350919,Triangleland.org,0,28.2825,2.0212369248547373,0.4443195553719062,60.745477823683544,0.15428444104914693,0.7602177234530176
201,Big Branch,35.926466845084,-79.266683138604,NA,1,51.4728947368421,1.8637317670716589,0.41914675774283655,69.66313017681469,0.04938585884299625,0.6915611277286324
