siteID,Name,area_mn,shape_mn,contig_mn,enn_mn
84,Tnca,19.232307692307693,1.7440108713906393,0.4667192661128601,60.54477225576875
85,Cape Cod Cooperative Extension Field Office,2.3195454545454544,1.5425746607997701,0.31120829589890314,69.4723625279004
86,Tuckahoe State Park,4.584375,1.4490074615937165,0.4206476512156354,73.43657732493851
55,Hemlock Bluffs,3.91125,1.617737701352101,0.3238831356059511,71.73371326684484
105,Wellesley College,2.0079310344827586,1.4709285432267258,0.30522552040172074,86.37373852513092
104,The Children's Museum,0.44999999999999996,1.5555555555555556,0.3,NA
103,TMS,2.896875,1.6275858940361105,0.32792923667474794,73.16899507078256
102,Bolton Flats WMA,8.336842105263157,1.5046214284429165,0.37279318663898625,78.41940199221713
101,Mass Audubon's Boston Nature Center,1.4563636363636363,1.4552133270600573,0.33672318965446174,87.01402043941033
99,Currituck Banks Reserve,6.254999999999999,1.8414533443435177,0.5746658312447785,910.9335870413386
98,South Shore Natural Science Center,4.491,1.742439727868788,0.3381367829659949,76.67382806933315
97,Museum of American Bird Art,2.75625,1.48807016132132,0.3745516047983227,88.64525780108687
95,Mt. Auburn Cemetery,0.96,1.3660130718954249,0.30982905982905984,1058.241106840782
96,Mass Audubon's Broadmoor Wildlife Sanctuary,5.406428571428571,1.9043179460430366,0.44517103749943066,65.82677174623164
93,Walker Nature Center,2.245344827586207,1.606600273293917,0.299226266752516,64.51759307437017
80,Duke School,13.362,1.7379641261383356,0.4835581192951201,63.740963185335495
81,Roxbury Park,2.727,1.6311045403788398,0.4101524061850551,78.56591617680166
82,Mataniuck State Park,8.209285714285715,1.5651120333931,0.4639830864433594,77.78212655528216
83,Environmental Sciences Magnet School,0.45,1.2983193277310925,0.15095238095238095,203.21710853331106
87,Bio group 30-31,1.6491176470588234,1.450404535792649,0.27629724400824146,83.76620587884673
88,Zoo Knoxville,1.6264285714285713,1.5984661478664153,0.32560009435009435,90.78963258427424
89,Ijams Nature Center,4.77,1.486703105813142,0.3530537039464244,109.44594928540698
91,The New York Botanical Garden,3.0494117647058823,1.4889372896801274,0.43105151528167185,67.89200462646984
90,Pritchard Park (Chapel Hill Public Library),1.4970731707317073,1.4505960223218926,0.253101117831932,77.25911161274067
78,NC Botanical Garden,2.9659999999999997,1.5389107460503464,0.2678911837183079,64.67803502041906
77,Prairie Ridge Ecostation,2.07,1.573976168766468,0.44177753361756705,85.05419744827307
40,Red Top Mountain State Park,30.25125,1.7588539323876984,0.6583890962521566,60
45,Central Park,0.09,1,0,NA
46,Fresh Pond Reservation,2.43,1.788746355136165,0.4361217517238191,117.96462334194622
47,Calvin College Ecosystem Preserve,3.035454545454545,1.5348926975044155,0.26899724671463804,197.88461950196609
49,Beus Pond,3.6225,1.60490050255685,0.47553332736603415,180.06349031346042
50,Linda Loring Nature Foundation,2.9057142857142857,1.562765436791175,0.4098358935422889,104.12143509642753
51,Acadia NP - Sundew,9.06,1.8629866750928248,0.46539933689178214,95.44005809131916
52,Acadia NP - Alder,20.632499999999997,1.9638681293678726,0.45660969517403327,90.50836092791796
53,Crawford Park District,8.239090909090908,1.6284756686098085,0.538929770392748,87.71949918352375
54,Kalamazoo Nature Center,9.886153846153846,1.620643092148322,0.35493897887262815,90.97748038599126
56,Stage Nature Center,2.5036363636363634,1.377525859334918,0.40771117505567267,137.4185395870577
57,Piedmont Wildlife Center,4.1472,1.4860869539604977,0.39059064344837946,71.36592930259114
59,Jordan Lake SRA,14.772857142857143,1.64060460356885,0.5909629207455512,62.64871709464241
60,UNC Chapel Hill Campus,1.0718181818181818,1.30733953206764,0.2644909936576603,115.57998042110003
61,Pfeiffer University,8.6805,1.6372258290946444,0.41342609307165223,66.27050983124842
63,Cradle Heritage Site,97.13999999999999,1.7323256549082744,0.7126072906092901,60
92,Schumacher Farm Park,0.9675,1.4998850008389428,0.45975935828877007,323.20580956527925
65,"College of Charleston Plantation, Hollywood SC",7.025625,1.6962231368120257,0.436576191715885,88.98750636747356
66,CawCaw Interpretive Center,3.935454545454545,1.664813678616048,0.3933660495764294,106.63570083159433
67,East Carolina University,0.324,1.136737655875122,0.23174603174603173,263.22866786405575
68,NC State University,0.72,1.565251572327044,0.279265873015873,349.33707267641273
69,Forest Meadow (TNCA),16.67076923076923,1.6525150873159724,0.4408218025549107,63.22695147154193
70,Plants of Promise Garden (TNCA),18.81,1.6651221056192402,0.4553994864777677,60.54477225576875
71,Azalea Repository (TNCA),18.14785714285714,1.7087160869734768,0.492681095069333,60.50585995178526
72,Stream Garden (TNCA),17.432307692307692,1.647940110093221,0.4623934943811078,63.22695147154193
73,Great Smoky Mountains Institute at Tremont,301.05,2.428694900605013,0.9524165421026408,NA
74,Wild Spirit Education,9.790714285714285,1.533767069275882,0.40090065489281257,92.20120314772667
75,"Graham Middle School, Graham, NC",1.0542857142857143,1.4496347989745348,0.4000944822373394,177.07473853288158
76,Georgetown,2.0495454545454543,1.364818895941539,0.30932740893588645,85.01882575230717
108,Piney Knoll Conservation Area,5.521304347826087,1.6180791132911174,0.42824929143089613,74.42358560658667
109,The Montessori School,2.9025,1.6300626925728943,0.3276305770010883,73.16899507078256
111,Pathfinder Ranch,6.798461538461538,1.9875538509692807,0.5296215331994514,100.85060968242301
112,NC Museum of Life and Science,6.282,1.8662550155792594,0.5606941282489092,145.93898185185057
113,BBS 27-041-11,36.10125,1.747438356425104,0.7175741882322464,60
114,BBS 27-041-32,98.42999999999999,1.6881458559456144,0.7827858340682874,60
115,BBS 63-022-05,99.66,1.505134090353942,0.8256903186019039,60
