1,datetime,tempC,site
2,5/16/2022 14:00,28.357,DF
3,5/16/2022 15:00,28.456,DF
4,5/16/2022 16:00,21.951,DF
5,5/16/2022 17:00,20.805,DF
6,5/16/2022 18:00,19.282,DF
7,5/16/2022 19:00,19.948,DF
8,5/16/2022 20:00,19.853,DF
9,5/16/2022 21:00,18.996,DF
10,5/16/2022 22:00,18.236,DF
11,5/16/2022 23:00,16.903,DF
12,5/17/2022 0:00,15.951,DF
13,5/17/2022 1:00,15.282,DF
14,5/17/2022 2:00,14.038,DF
15,5/17/2022 3:00,13.269,DF
16,5/17/2022 4:00,12.497,DF
17,5/17/2022 5:00,12.11,DF
18,5/17/2022 6:00,11.528,DF
19,5/17/2022 7:00,11.528,DF
20,5/17/2022 8:00,13.558,DF
21,5/17/2022 9:00,18.045,DF
22,5/17/2022 10:00,20.805,DF
23,5/17/2022 11:00,23.1,DF
24,5/17/2022 12:00,24.931,DF
25,5/17/2022 13:00,25.902,DF
26,5/17/2022 14:00,26.781,DF
27,5/17/2022 15:00,27.37,DF
28,5/17/2022 16:00,27.961,DF
29,5/17/2022 17:00,27.665,DF
30,5/17/2022 18:00,27.468,DF
31,5/17/2022 19:00,24.448,DF
32,5/17/2022 20:00,20.519,DF
33,5/17/2022 21:00,18.236,DF
34,5/17/2022 22:00,16.713,DF
35,5/17/2022 23:00,15.855,DF
36,5/18/2022 0:00,15.282,DF
37,5/18/2022 1:00,14.613,DF
38,5/18/2022 2:00,14.038,DF
39,5/18/2022 3:00,13.654,DF
40,5/18/2022 4:00,13.461,DF
41,5/18/2022 5:00,12.883,DF
42,5/18/2022 6:00,12.594,DF
43,5/18/2022 7:00,12.883,DF
44,5/18/2022 8:00,15.378,DF
45,5/18/2022 9:00,18.901,DF
46,5/18/2022 10:00,20.71,DF
47,5/18/2022 11:00,23.004,DF
48,5/18/2022 12:00,24.738,DF
49,5/18/2022 13:00,26.879,DF
50,5/18/2022 14:00,27.468,DF
51,5/18/2022 15:00,27.665,DF
52,5/18/2022 16:00,27.764,DF
53,5/18/2022 17:00,27.272,DF
54,5/18/2022 18:00,26.292,DF
55,5/18/2022 19:00,24.835,DF
56,5/18/2022 20:00,22.142,DF
57,5/18/2022 21:00,20.043,DF
58,5/18/2022 22:00,18.806,DF
59,5/18/2022 23:00,18.236,DF
60,5/19/2022 0:00,18.806,DF
61,5/19/2022 1:00,19.758,DF
62,5/19/2022 2:00,20.329,DF
63,5/19/2022 3:00,20.138,DF
64,5/19/2022 4:00,20.043,DF
65,5/19/2022 5:00,19.853,DF
66,5/19/2022 6:00,19.472,DF
67,5/19/2022 7:00,19.187,DF
68,5/19/2022 8:00,20.805,DF
69,5/19/2022 9:00,22.717,DF
70,5/19/2022 10:00,24.835,DF
71,5/19/2022 11:00,27.075,DF
72,5/19/2022 12:00,28.953,DF
73,5/19/2022 13:00,30.054,DF
74,5/19/2022 14:00,30.659,DF
75,5/19/2022 15:00,30.862,DF
76,5/19/2022 16:00,32.086,DF
77,5/19/2022 17:00,30.054,DF
78,5/19/2022 18:00,29.752,DF
79,5/19/2022 19:00,27.862,DF
80,5/19/2022 20:00,25.708,DF
81,5/19/2022 21:00,23.677,DF
82,5/19/2022 22:00,22.525,DF
